train_csv,test_csv,model,R2,MAE,RMSE,n_samples,n_folds,fold_details,range_details
prc2-c930.csv,prc2-c930.csv,tcn,0.1523483395576477,4.161219596862793,5.342811189691378,5983,10,"[{'fold': 1, 'n_samples': 904, 'r2': 0.3502609133720398, 'mae': 3.317244291305542, 'rmse': 4.129948970673392}, {'fold': 2, 'n_samples': 445, 'r2': -0.6478550434112549, 'mae': 4.273041725158691, 'rmse': 5.319711973381296}, {'fold': 3, 'n_samples': 556, 'r2': 0.04553490877151489, 'mae': 4.618334770202637, 'rmse': 5.6097185885044105}, {'fold': 4, 'n_samples': 458, 'r2': 0.03211188316345215, 'mae': 3.751772403717041, 'rmse': 4.748188476459564}, {'fold': 5, 'n_samples': 597, 'r2': 0.17913126945495605, 'mae': 4.250112533569336, 'rmse': 5.5394965299031975}, {'fold': 6, 'n_samples': 598, 'r2': -0.4372386932373047, 'mae': 4.489443302154541, 'rmse': 5.888759003812303}, {'fold': 7, 'n_samples': 619, 'r2': 0.13466471433639526, 'mae': 4.0559306144714355, 'rmse': 5.325635938325394}, {'fold': 8, 'n_samples': 574, 'r2': 0.2750762701034546, 'mae': 4.367576599121094, 'rmse': 5.482192602415613}, {'fold': 9, 'n_samples': 721, 'r2': 0.3359525203704834, 'mae': 4.704453945159912, 'rmse': 6.060747660225406}, {'fold': 10, 'n_samples': 511, 'r2': 0.151727557182312, 'mae': 4.067815780639648, 'rmse': 5.34619013526477}]","[{'train_csv': 'prc2-c930.csv', 'test_csv': 'prc2-c930.csv', 'model': 'tcn', 'spo2_range': '[70, 80)', 'n_samples': 295, 'MAE': 10.107836723327637, 'R2': -23.935449600219727}, {'train_csv': 'prc2-c930.csv', 'test_csv': 'prc2-c930.csv', 'model': 'tcn', 'spo2_range': '[80, 90)', 'n_samples': 1207, 'MAE': 4.694182395935059, 'R2': -2.995589017868042}, {'train_csv': 'prc2-c930.csv', 'test_csv': 'prc2-c930.csv', 'model': 'tcn', 'spo2_range': '[90, 100]', 'n_samples': 4481, 'MAE': 3.6261744499206543, 'R2': -1.866739273071289}]"
prc2-c930.csv,prc2-i16.csv,tcn,-0.2307966947555542,4.645486831665039,5.791360128875944,4620,10,"[{'fold': 1, 'n_samples': 647, 'r2': 0.22136962413787842, 'mae': 3.6256649494171143, 'rmse': 4.693681227260194}, {'fold': 2, 'n_samples': 343, 'r2': -3.174837112426758, 'mae': 5.692606449127197, 'rmse': 6.624696544679011}, {'fold': 3, 'n_samples': 381, 'r2': -0.07548701763153076, 'mae': 4.842065334320068, 'rmse': 5.661383054268471}, {'fold': 4, 'n_samples': 349, 'r2': -2.1646950244903564, 'mae': 3.5303468704223633, 'rmse': 4.219514904615629}, {'fold': 5, 'n_samples': 459, 'r2': -0.0015703439712524414, 'mae': 3.934650182723999, 'rmse': 5.444669359885554}, {'fold': 6, 'n_samples': 459, 'r2': -0.9531466960906982, 'mae': 5.241580009460449, 'rmse': 6.555376528147049}, {'fold': 7, 'n_samples': 467, 'r2': -0.00876760482788086, 'mae': 4.220664978027344, 'rmse': 5.320689452677262}, {'fold': 8, 'n_samples': 478, 'r2': 0.011448562145233154, 'mae': 4.5739593505859375, 'rmse': 5.986875803352332}, {'fold': 9, 'n_samples': 644, 'r2': 0.188055157661438, 'mae': 4.854798316955566, 'rmse': 5.980852091118777}, {'fold': 10, 'n_samples': 393, 'r2': -2.6748464107513428, 'mae': 6.593074798583984, 'rmse': 7.222539790417906}]","[{'train_csv': 'prc2-c930.csv', 'test_csv': 'prc2-i16.csv', 'model': 'tcn', 'spo2_range': '[70, 80)', 'n_samples': 155, 'MAE': 11.163707733154297, 'R2': -27.773738861083984}, {'train_csv': 'prc2-c930.csv', 'test_csv': 'prc2-i16.csv', 'model': 'tcn', 'spo2_range': '[80, 90)', 'n_samples': 612, 'MAE': 4.019890308380127, 'R2': -1.9783532619476318}, {'train_csv': 'prc2-c930.csv', 'test_csv': 'prc2-i16.csv', 'model': 'tcn', 'spo2_range': '[90, 100]', 'n_samples': 3853, 'MAE': 4.482637405395508, 'R2': -3.131955146789551}]"
prc2-c930.csv,prc2-i16m.csv,tcn,-0.07217419147491455,4.466132640838623,5.544301642288557,4568,10,"[{'fold': 1, 'n_samples': 734, 'r2': -0.43112969398498535, 'mae': 5.046778202056885, 'rmse': 6.038130082449212}, {'fold': 2, 'n_samples': 347, 'r2': -0.35856056213378906, 'mae': 3.4931280612945557, 'rmse': 4.141247972372188}, {'fold': 3, 'n_samples': 398, 'r2': 0.057285189628601074, 'mae': 4.394730567932129, 'rmse': 5.234451521129103}, {'fold': 4, 'n_samples': 346, 'r2': -1.3255336284637451, 'mae': 3.335592746734619, 'rmse': 4.164501517737189}, {'fold': 5, 'n_samples': 422, 'r2': 0.31952494382858276, 'mae': 3.0461018085479736, 'rmse': 4.299518008165458}, {'fold': 6, 'n_samples': 457, 'r2': -0.37154924869537354, 'mae': 4.093935966491699, 'rmse': 5.3904652447455375}, {'fold': 7, 'n_samples': 451, 'r2': 0.24897915124893188, 'mae': 3.8531155586242676, 'rmse': 4.814660120106461}, {'fold': 8, 'n_samples': 432, 'r2': 0.09900170564651489, 'mae': 4.844448566436768, 'rmse': 6.246274829789959}, {'fold': 9, 'n_samples': 641, 'r2': 0.20497941970825195, 'mae': 5.451056957244873, 'rmse': 6.275488797181833}, {'fold': 10, 'n_samples': 340, 'r2': -2.4556522369384766, 'mae': 6.178112983703613, 'rmse': 7.105517067936321}]","[{'train_csv': 'prc2-c930.csv', 'test_csv': 'prc2-i16m.csv', 'model': 'tcn', 'spo2_range': '[70, 80)', 'n_samples': 159, 'MAE': 10.487258911132812, 'R2': -19.330835342407227}, {'train_csv': 'prc2-c930.csv', 'test_csv': 'prc2-i16m.csv', 'model': 'tcn', 'spo2_range': '[80, 90)', 'n_samples': 705, 'MAE': 3.826629400253296, 'R2': -1.9102602005004883}, {'train_csv': 'prc2-c930.csv', 'test_csv': 'prc2-i16m.csv', 'model': 'tcn', 'spo2_range': '[90, 100]', 'n_samples': 3704, 'MAE': 4.3293867111206055, 'R2': -2.9437148571014404}]"
prc2-c930.csv,prc2-s9360.csv,tcn,0.04333019256591797,4.2052693367004395,5.4418580578984646,4122,10,"[{'fold': 1, 'n_samples': 702, 'r2': -0.07376492023468018, 'mae': 3.867316961288452, 'rmse': 5.115918370470294}, {'fold': 2, 'n_samples': 226, 'r2': -1.119093418121338, 'mae': 4.206324577331543, 'rmse': 4.984288134161758}, {'fold': 3, 'n_samples': 400, 'r2': 0.4236108660697937, 'mae': 3.4575018882751465, 'rmse': 4.205076764253147}, {'fold': 4, 'n_samples': 309, 'r2': -0.44805967807769775, 'mae': 2.8651556968688965, 'rmse': 3.3395848937971944}, {'fold': 5, 'n_samples': 392, 'r2': 0.2630411982536316, 'mae': 3.5282833576202393, 'rmse': 4.3935163758679145}, {'fold': 6, 'n_samples': 393, 'r2': -1.5710463523864746, 'mae': 5.062225341796875, 'rmse': 6.467393520969489}, {'fold': 7, 'n_samples': 424, 'r2': 0.031122803688049316, 'mae': 4.386047840118408, 'rmse': 5.616633487380798}, {'fold': 8, 'n_samples': 440, 'r2': 0.08123147487640381, 'mae': 4.773463249206543, 'rmse': 6.857879684233876}, {'fold': 9, 'n_samples': 566, 'r2': 0.33594411611557007, 'mae': 4.857573509216309, 'rmse': 6.0490624071718235}, {'fold': 10, 'n_samples': 270, 'r2': -1.3216538429260254, 'mae': 4.882838249206543, 'rmse': 5.701374610989352}]","[{'train_csv': 'prc2-c930.csv', 'test_csv': 'prc2-s9360.csv', 'model': 'tcn', 'spo2_range': '[70, 80)', 'n_samples': 180, 'MAE': 10.446370124816895, 'R2': -21.137531280517578}, {'train_csv': 'prc2-c930.csv', 'test_csv': 'prc2-s9360.csv', 'model': 'tcn', 'spo2_range': '[80, 90)', 'n_samples': 602, 'MAE': 4.071024417877197, 'R2': -1.9643445014953613}, {'train_csv': 'prc2-c930.csv', 'test_csv': 'prc2-s9360.csv', 'model': 'tcn', 'spo2_range': '[90, 100]', 'n_samples': 3340, 'MAE': 3.8931195735931396, 'R2': -2.431389331817627}]"
prc2-c930.csv,prc2-s9380.csv,tcn,-0.17431366443634033,4.4054412841796875,5.64379202150097,4155,10,"[{'fold': 1, 'n_samples': 679, 'r2': -0.14407753944396973, 'mae': 4.117071628570557, 'rmse': 5.271712138176539}, {'fold': 2, 'n_samples': 254, 'r2': -1.3265233039855957, 'mae': 3.919746160507202, 'rmse': 4.832069341313584}, {'fold': 3, 'n_samples': 383, 'r2': 0.1931440830230713, 'mae': 4.1258111000061035, 'rmse': 5.086146759087912}, {'fold': 4, 'n_samples': 340, 'r2': -0.5511105060577393, 'mae': 3.001400947570801, 'rmse': 3.5803671396059533}, {'fold': 5, 'n_samples': 321, 'r2': -0.06380462646484375, 'mae': 3.636542797088623, 'rmse': 4.617508259070362}, {'fold': 6, 'n_samples': 418, 'r2': -0.11155486106872559, 'mae': 3.9824090003967285, 'rmse': 4.924152731267544}, {'fold': 7, 'n_samples': 460, 'r2': -0.05723297595977783, 'mae': 4.138540744781494, 'rmse': 5.733835137755784}, {'fold': 8, 'n_samples': 384, 'r2': -0.05711555480957031, 'mae': 4.937425136566162, 'rmse': 6.551691946237891}, {'fold': 9, 'n_samples': 535, 'r2': 0.03798413276672363, 'mae': 5.4771599769592285, 'rmse': 6.892085813655614}, {'fold': 10, 'n_samples': 381, 'r2': -2.9547853469848633, 'mae': 6.1702961921691895, 'rmse': 7.113781043671831}]","[{'train_csv': 'prc2-c930.csv', 'test_csv': 'prc2-s9380.csv', 'model': 'tcn', 'spo2_range': '[70, 80)', 'n_samples': 126, 'MAE': 13.163251876831055, 'R2': -28.12809944152832}, {'train_csv': 'prc2-c930.csv', 'test_csv': 'prc2-s9380.csv', 'model': 'tcn', 'spo2_range': '[80, 90)', 'n_samples': 555, 'MAE': 5.617421627044678, 'R2': -4.4458770751953125}, {'train_csv': 'prc2-c930.csv', 'test_csv': 'prc2-s9380.csv', 'model': 'tcn', 'spo2_range': '[90, 100]', 'n_samples': 3474, 'MAE': 3.894176721572876, 'R2': -2.4295308589935303}]"
prc2-i16.csv,prc2-c930.csv,tcn,0.0021994709968566895,4.500820636749268,5.796728908620711,5983,10,"[{'fold': 1, 'n_samples': 904, 'r2': 0.37476152181625366, 'mae': 3.2285706996917725, 'rmse': 4.0513340012817265}, {'fold': 2, 'n_samples': 445, 'r2': -0.7274104356765747, 'mae': 4.594304084777832, 'rmse': 5.446611334349627}, {'fold': 3, 'n_samples': 556, 'r2': 0.10314476490020752, 'mae': 4.176472187042236, 'rmse': 5.437787453956727}, {'fold': 4, 'n_samples': 458, 'r2': -0.19966495037078857, 'mae': 3.9723050594329834, 'rmse': 5.286221303151577}, {'fold': 5, 'n_samples': 597, 'r2': -0.07159316539764404, 'mae': 4.76466703414917, 'rmse': 6.329194004517967}, {'fold': 6, 'n_samples': 598, 'r2': -0.22330081462860107, 'mae': 4.2603254318237305, 'rmse': 5.432828101946788}, {'fold': 7, 'n_samples': 619, 'r2': 0.015939652919769287, 'mae': 4.393560886383057, 'rmse': 5.679238827704763}, {'fold': 8, 'n_samples': 574, 'r2': -0.1587764024734497, 'mae': 5.685907363891602, 'rmse': 6.931192641025205}, {'fold': 9, 'n_samples': 721, 'r2': 0.11987406015396118, 'mae': 5.6779279708862305, 'rmse': 6.97748705642358}, {'fold': 10, 'n_samples': 511, 'r2': -0.13574612140655518, 'mae': 4.607808589935303, 'rmse': 6.186105898621914}]","[{'train_csv': 'prc2-i16.csv', 'test_csv': 'prc2-c930.csv', 'model': 'tcn', 'spo2_range': '[70, 80)', 'n_samples': 295, 'MAE': 12.464322090148926, 'R2': -33.91263198852539}, {'train_csv': 'prc2-i16.csv', 'test_csv': 'prc2-c930.csv', 'model': 'tcn', 'spo2_range': '[80, 90)', 'n_samples': 1207, 'MAE': 5.972812175750732, 'R2': -5.202802658081055}, {'train_csv': 'prc2-i16.csv', 'test_csv': 'prc2-c930.csv', 'model': 'tcn', 'spo2_range': '[90, 100]', 'n_samples': 4481, 'MAE': 3.5800602436065674, 'R2': -1.6789684295654297}]"
prc2-i16.csv,prc2-i16.csv,tcn,-0.10174012184143066,4.258387565612793,5.479324319212834,4620,10,"[{'fold': 1, 'n_samples': 647, 'r2': 0.06684190034866333, 'mae': 3.861706256866455, 'rmse': 5.138371956517491}, {'fold': 2, 'n_samples': 343, 'r2': -1.4021797180175781, 'mae': 4.293204307556152, 'rmse': 5.025149230259431}, {'fold': 3, 'n_samples': 381, 'r2': 0.2671968340873718, 'mae': 3.548844814300537, 'rmse': 4.673192071416768}, {'fold': 4, 'n_samples': 349, 'r2': -0.9108420610427856, 'mae': 2.5812697410583496, 'rmse': 3.2787553295771352}, {'fold': 5, 'n_samples': 459, 'r2': -0.019617795944213867, 'mae': 4.322170257568359, 'rmse': 5.493504590139592}, {'fold': 6, 'n_samples': 459, 'r2': -0.3528890609741211, 'mae': 4.072701930999756, 'rmse': 5.455835931017057}, {'fold': 7, 'n_samples': 467, 'r2': 0.025300800800323486, 'mae': 3.8965823650360107, 'rmse': 5.230071618955547}, {'fold': 8, 'n_samples': 478, 'r2': -0.435443639755249, 'mae': 5.744847297668457, 'rmse': 7.214291735785533}, {'fold': 9, 'n_samples': 644, 'r2': 0.02349764108657837, 'mae': 5.495797634124756, 'rmse': 6.558982269612104}, {'fold': 10, 'n_samples': 393, 'r2': -0.43723154067993164, 'mae': 3.794914484024048, 'rmse': 4.516829702853008}]","[{'train_csv': 'prc2-i16.csv', 'test_csv': 'prc2-i16.csv', 'model': 'tcn', 'spo2_range': '[70, 80)', 'n_samples': 155, 'MAE': 13.044225692749023, 'R2': -36.63014221191406}, {'train_csv': 'prc2-i16.csv', 'test_csv': 'prc2-i16.csv', 'model': 'tcn', 'spo2_range': '[80, 90)', 'n_samples': 612, 'MAE': 5.68582820892334, 'R2': -4.313961029052734}, {'train_csv': 'prc2-i16.csv', 'test_csv': 'prc2-i16.csv', 'model': 'tcn', 'spo2_range': '[90, 100]', 'n_samples': 3853, 'MAE': 3.6782162189483643, 'R2': -1.869703769683838}]"
prc2-i16.csv,prc2-i16m.csv,tcn,0.017554879188537598,4.172781944274902,5.307235083560717,4568,10,"[{'fold': 1, 'n_samples': 734, 'r2': 0.2268962264060974, 'mae': 3.6072020530700684, 'rmse': 4.437944416841276}, {'fold': 2, 'n_samples': 347, 'r2': -0.2874791622161865, 'mae': 3.297048807144165, 'rmse': 4.0314553378542195}, {'fold': 3, 'n_samples': 398, 'r2': 0.372408390045166, 'mae': 3.3793530464172363, 'rmse': 4.27090183606298}, {'fold': 4, 'n_samples': 346, 'r2': -0.5754647254943848, 'mae': 2.7464230060577393, 'rmse': 3.42772575007818}, {'fold': 5, 'n_samples': 422, 'r2': 0.1442199945449829, 'mae': 3.5298986434936523, 'rmse': 4.821639658833267}, {'fold': 6, 'n_samples': 457, 'r2': -0.41177892684936523, 'mae': 4.07520055770874, 'rmse': 5.4689491453695815}, {'fold': 7, 'n_samples': 451, 'r2': 0.2213861346244812, 'mae': 4.159937858581543, 'rmse': 4.902309317296906}, {'fold': 8, 'n_samples': 432, 'r2': -0.4373852014541626, 'mae': 6.650171279907227, 'rmse': 7.889431521359737}, {'fold': 9, 'n_samples': 641, 'r2': 0.1824595332145691, 'mae': 5.090480804443359, 'rmse': 6.363748532086939}, {'fold': 10, 'n_samples': 340, 'r2': -1.028928279876709, 'mae': 4.7360968589782715, 'rmse': 5.444575474691243}]","[{'train_csv': 'prc2-i16.csv', 'test_csv': 'prc2-i16m.csv', 'model': 'tcn', 'spo2_range': '[70, 80)', 'n_samples': 159, 'MAE': 12.216974258422852, 'R2': -25.243066787719727}, {'train_csv': 'prc2-i16.csv', 'test_csv': 'prc2-i16m.csv', 'model': 'tcn', 'spo2_range': '[80, 90)', 'n_samples': 705, 'MAE': 5.107554912567139, 'R2': -3.9949045181274414}, {'train_csv': 'prc2-i16.csv', 'test_csv': 'prc2-i16m.csv', 'model': 'tcn', 'spo2_range': '[90, 100]', 'n_samples': 3704, 'MAE': 3.649552822113037, 'R2': -1.8554930686950684}]"
prc2-i16.csv,prc2-s9360.csv,tcn,-0.09556245803833008,4.355104923248291,5.823509045144255,4122,10,"[{'fold': 1, 'n_samples': 702, 'r2': 0.038360655307769775, 'mae': 3.560602903366089, 'rmse': 4.841446064023096}, {'fold': 2, 'n_samples': 226, 'r2': -0.09421586990356445, 'mae': 3.2367212772369385, 'rmse': 3.581620553703372}, {'fold': 3, 'n_samples': 400, 'r2': 0.1014750599861145, 'mae': 4.292285919189453, 'rmse': 5.250263207513405}, {'fold': 4, 'n_samples': 309, 'r2': 0.03880476951599121, 'mae': 2.166912078857422, 'rmse': 2.720852882661636}, {'fold': 5, 'n_samples': 392, 'r2': -0.0635077953338623, 'mae': 3.802821159362793, 'rmse': 5.277897961681421}, {'fold': 6, 'n_samples': 393, 'r2': -0.647303581237793, 'mae': 3.6070780754089355, 'rmse': 5.176797328036082}, {'fold': 7, 'n_samples': 424, 'r2': -0.19817113876342773, 'mae': 4.953075408935547, 'rmse': 6.2459877868787}, {'fold': 8, 'n_samples': 440, 'r2': -0.13783681392669678, 'mae': 5.157358646392822, 'rmse': 7.631796637474788}, {'fold': 9, 'n_samples': 566, 'r2': -0.18400752544403076, 'mae': 6.958985328674316, 'rmse': 8.077239528507182}, {'fold': 10, 'n_samples': 270, 'r2': -0.7394815683364868, 'mae': 4.139980316162109, 'rmse': 4.935040984287928}]","[{'train_csv': 'prc2-i16.csv', 'test_csv': 'prc2-s9360.csv', 'model': 'tcn', 'spo2_range': '[70, 80)', 'n_samples': 180, 'MAE': 13.848962783813477, 'R2': -33.68944549560547}, {'train_csv': 'prc2-i16.csv', 'test_csv': 'prc2-s9360.csv', 'model': 'tcn', 'spo2_range': '[80, 90)', 'n_samples': 602, 'MAE': 5.948795318603516, 'R2': -4.682015419006348}, {'train_csv': 'prc2-i16.csv', 'test_csv': 'prc2-s9360.csv', 'model': 'tcn', 'spo2_range': '[90, 100]', 'n_samples': 3340, 'MAE': 3.5562140941619873, 'R2': -2.008810043334961}]"
prc2-i16.csv,prc2-s9380.csv,tcn,-0.22222530841827393,4.540203094482422,5.757773410866297,4155,10,"[{'fold': 1, 'n_samples': 679, 'r2': 0.22676444053649902, 'mae': 3.6277217864990234, 'rmse': 4.333909778889914}, {'fold': 2, 'n_samples': 254, 'r2': -1.4900496006011963, 'mae': 4.4328293800354, 'rmse': 4.999003692546228}, {'fold': 3, 'n_samples': 383, 'r2': 0.10525864362716675, 'mae': 4.398412227630615, 'rmse': 5.355988525275772}, {'fold': 4, 'n_samples': 340, 'r2': -1.0755133628845215, 'mae': 2.9139389991760254, 'rmse': 4.141607894838651}, {'fold': 5, 'n_samples': 321, 'r2': -0.18848776817321777, 'mae': 3.901388168334961, 'rmse': 4.880609854753941}, {'fold': 6, 'n_samples': 418, 'r2': -0.9370548725128174, 'mae': 4.95515251159668, 'rmse': 6.500354463742487}, {'fold': 7, 'n_samples': 460, 'r2': -0.00977778434753418, 'mae': 4.573822975158691, 'rmse': 5.603672539956149}, {'fold': 8, 'n_samples': 384, 'r2': -0.21636509895324707, 'mae': 5.530248165130615, 'rmse': 7.027877880618218}, {'fold': 9, 'n_samples': 535, 'r2': -0.3394341468811035, 'mae': 6.691903114318848, 'rmse': 8.13242833881954}, {'fold': 10, 'n_samples': 381, 'r2': -0.5843100547790527, 'mae': 3.8548853397369385, 'rmse': 4.502555968992085}]","[{'train_csv': 'prc2-i16.csv', 'test_csv': 'prc2-s9380.csv', 'model': 'tcn', 'spo2_range': '[70, 80)', 'n_samples': 126, 'MAE': 13.851326942443848, 'R2': -32.403038024902344}, {'train_csv': 'prc2-i16.csv', 'test_csv': 'prc2-s9380.csv', 'model': 'tcn', 'spo2_range': '[80, 90)', 'n_samples': 555, 'MAE': 6.252772331237793, 'R2': -5.765713214874268}, {'train_csv': 'prc2-i16.csv', 'test_csv': 'prc2-s9380.csv', 'model': 'tcn', 'spo2_range': '[90, 100]', 'n_samples': 3474, 'MAE': 3.9288971424102783, 'R2': -2.2512729167938232}]"
