train_csv,test_csv,model,spo2_range,n_samples,MAE,R2
prc2-c930.csv,prc2-c930.csv,tcn,"[70, 80)",295,10.107836723327637,-23.935449600219727
prc2-c930.csv,prc2-c930.csv,tcn,"[80, 90)",1207,4.694182395935059,-2.995589017868042
prc2-c930.csv,prc2-c930.csv,tcn,"[90, 100]",4481,3.6261744499206543,-1.866739273071289
prc2-c930.csv,prc2-i16.csv,tcn,"[70, 80)",155,11.163707733154297,-27.773738861083984
prc2-c930.csv,prc2-i16.csv,tcn,"[80, 90)",612,4.019890308380127,-1.9783532619476318
prc2-c930.csv,prc2-i16.csv,tcn,"[90, 100]",3853,4.482637405395508,-3.131955146789551
prc2-c930.csv,prc2-i16m.csv,tcn,"[70, 80)",159,10.487258911132812,-19.330835342407227
prc2-c930.csv,prc2-i16m.csv,tcn,"[80, 90)",705,3.826629400253296,-1.9102602005004883
prc2-c930.csv,prc2-i16m.csv,tcn,"[90, 100]",3704,4.3293867111206055,-2.9437148571014404
prc2-c930.csv,prc2-s9360.csv,tcn,"[70, 80)",180,10.446370124816895,-21.137531280517578
prc2-c930.csv,prc2-s9360.csv,tcn,"[80, 90)",602,4.071024417877197,-1.9643445014953613
prc2-c930.csv,prc2-s9360.csv,tcn,"[90, 100]",3340,3.8931195735931396,-2.431389331817627
prc2-c930.csv,prc2-s9380.csv,tcn,"[70, 80)",126,13.163251876831055,-28.12809944152832
prc2-c930.csv,prc2-s9380.csv,tcn,"[80, 90)",555,5.617421627044678,-4.4458770751953125
prc2-c930.csv,prc2-s9380.csv,tcn,"[90, 100]",3474,3.894176721572876,-2.4295308589935303
prc2-i16.csv,prc2-c930.csv,tcn,"[70, 80)",295,12.464322090148926,-33.91263198852539
prc2-i16.csv,prc2-c930.csv,tcn,"[80, 90)",1207,5.972812175750732,-5.202802658081055
prc2-i16.csv,prc2-c930.csv,tcn,"[90, 100]",4481,3.5800602436065674,-1.6789684295654297
prc2-i16.csv,prc2-i16.csv,tcn,"[70, 80)",155,13.044225692749023,-36.63014221191406
prc2-i16.csv,prc2-i16.csv,tcn,"[80, 90)",612,5.68582820892334,-4.313961029052734
prc2-i16.csv,prc2-i16.csv,tcn,"[90, 100]",3853,3.6782162189483643,-1.869703769683838
prc2-i16.csv,prc2-i16m.csv,tcn,"[70, 80)",159,12.216974258422852,-25.243066787719727
prc2-i16.csv,prc2-i16m.csv,tcn,"[80, 90)",705,5.107554912567139,-3.9949045181274414
prc2-i16.csv,prc2-i16m.csv,tcn,"[90, 100]",3704,3.649552822113037,-1.8554930686950684
prc2-i16.csv,prc2-s9360.csv,tcn,"[70, 80)",180,13.848962783813477,-33.68944549560547
prc2-i16.csv,prc2-s9360.csv,tcn,"[80, 90)",602,5.948795318603516,-4.682015419006348
prc2-i16.csv,prc2-s9360.csv,tcn,"[90, 100]",3340,3.5562140941619873,-2.008810043334961
prc2-i16.csv,prc2-s9380.csv,tcn,"[70, 80)",126,13.851326942443848,-32.403038024902344
prc2-i16.csv,prc2-s9380.csv,tcn,"[80, 90)",555,6.252772331237793,-5.765713214874268
prc2-i16.csv,prc2-s9380.csv,tcn,"[90, 100]",3474,3.9288971424102783,-2.2512729167938232
prc2-i16m.csv,prc2-c930.csv,tcn,"[70, 80)",295,12.753946304321289,-37.58552551269531
prc2-i16m.csv,prc2-c930.csv,tcn,"[80, 90)",1207,6.9097089767456055,-6.834963321685791
prc2-i16m.csv,prc2-c930.csv,tcn,"[90, 100]",4481,3.207501173019409,-1.204463243484497
prc2-i16m.csv,prc2-i16.csv,tcn,"[70, 80)",155,12.957656860351562,-38.079898834228516
prc2-i16m.csv,prc2-i16.csv,tcn,"[80, 90)",612,5.760761260986328,-4.505588531494141
prc2-i16m.csv,prc2-i16.csv,tcn,"[90, 100]",3853,3.527033567428589,-1.7235162258148193
prc2-i16m.csv,prc2-i16m.csv,tcn,"[70, 80)",159,10.507054328918457,-20.45954704284668
prc2-i16m.csv,prc2-i16m.csv,tcn,"[80, 90)",705,4.757590293884277,-3.3855438232421875
prc2-i16m.csv,prc2-i16m.csv,tcn,"[90, 100]",3704,3.2761354446411133,-1.436631441116333
